"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2019",46.8700014928596,
"AUS","TRUSTGOV","TOT","PC","A","2020",44.6422249484244,
"AUS","TRUSTGOV","TOT","PC","A","2021",51.9226387269998,
"AUS","TRUSTGOV","TOT","PC","A","2022",49.9118816780199,
"AUT","TRUSTGOV","TOT","PC","A","2019",51.2338260131346,
"AUT","TRUSTGOV","TOT","PC","A","2020",62.6177826842198,
"AUT","TRUSTGOV","TOT","PC","A","2021",61.0458963307101,
"BEL","TRUSTGOV","TOT","PC","A","2019",32.7901154348457,
"BEL","TRUSTGOV","TOT","PC","A","2020",29.4799600657363,
"BEL","TRUSTGOV","TOT","PC","A","2021",47.3133105255303,
"BEL","TRUSTGOV","TOT","PC","A","2022",57.2408419337754,
"CAN","TRUSTGOV","TOT","PC","A","2019",54.9280966328576,
"CAN","TRUSTGOV","TOT","PC","A","2020",60.0424110070179,
"CAN","TRUSTGOV","TOT","PC","A","2021",61.0411167292314,
"CAN","TRUSTGOV","TOT","PC","A","2022",50.6668033321548,
"CZE","TRUSTGOV","TOT","PC","A","2020",31.8858991214926,
"CZE","TRUSTGOV","TOT","PC","A","2021",28.4475429313419,
"CZE","TRUSTGOV","TOT","PC","A","2022",34.0826747537788,
"DNK","TRUSTGOV","TOT","PC","A","2019",63.2999031726247,
"DNK","TRUSTGOV","TOT","PC","A","2020",71.5797588737729,
"DNK","TRUSTGOV","TOT","PC","A","2021",65.1709716073998,
"DNK","TRUSTGOV","TOT","PC","A","2022",63.5359926406944,
"FIN","TRUSTGOV","TOT","PC","A","2019",63.9188147034123,
"FIN","TRUSTGOV","TOT","PC","A","2020",80.863288011065,
"FIN","TRUSTGOV","TOT","PC","A","2021",71.3731249908732,
"FIN","TRUSTGOV","TOT","PC","A","2022",77.5449915345894,
"FRA","TRUSTGOV","TOT","PC","A","2019",38.1849235823193,
"FRA","TRUSTGOV","TOT","PC","A","2020",41.0406651012307,
"FRA","TRUSTGOV","TOT","PC","A","2021",43.3520499917692,
"DEU","TRUSTGOV","TOT","PC","A","2019",56.8460427456982,
"DEU","TRUSTGOV","TOT","PC","A","2020",65.406310434657,
"DEU","TRUSTGOV","TOT","PC","A","2021",60.4759932362344,
"DEU","TRUSTGOV","TOT","PC","A","2022",60.7603777839133,
"GRC","TRUSTGOV","TOT","PC","A","2019",39.6424619237357,
"GRC","TRUSTGOV","TOT","PC","A","2020",39.7469760890433,
"GRC","TRUSTGOV","TOT","PC","A","2021",40.173639463011,
"GRC","TRUSTGOV","TOT","PC","A","2022",25.6266144139102,
"HUN","TRUSTGOV","TOT","PC","A","2019",48.3934186398412,
"HUN","TRUSTGOV","TOT","PC","A","2020",42.8733251215195,
"HUN","TRUSTGOV","TOT","PC","A","2021",41.6566138185724,
"HUN","TRUSTGOV","TOT","PC","A","2022",44.1911725509736,
"ISL","TRUSTGOV","TOT","PC","A","2019",52.1377060493115,
"ISL","TRUSTGOV","TOT","PC","A","2020",59.2407281936249,
"ISL","TRUSTGOV","TOT","PC","A","2021",63.3886735712649,
"ISL","TRUSTGOV","TOT","PC","A","2022",51.5324987127802,
"IRL","TRUSTGOV","TOT","PC","A","2019",58.1215976215141,
"IRL","TRUSTGOV","TOT","PC","A","2020",58.8148266866781,
"IRL","TRUSTGOV","TOT","PC","A","2021",62.3389411864285,
"ITA","TRUSTGOV","TOT","PC","A","2019",22.1925858303397,
"ITA","TRUSTGOV","TOT","PC","A","2020",37.4515772443029,
"ITA","TRUSTGOV","TOT","PC","A","2021",35.429390283743,
"JPN","TRUSTGOV","TOT","PC","A","2019",41.1213650479192,
"JPN","TRUSTGOV","TOT","PC","A","2020",42.337998467072,
"JPN","TRUSTGOV","TOT","PC","A","2021",29.0785675214417,
"JPN","TRUSTGOV","TOT","PC","A","2022",43.1462692986385,
"KOR","TRUSTGOV","TOT","PC","A","2019",37.6757588549017,
